conferenceId,conferenceUrl,conferenceTitle,conferenceProceedingIds
con81,939c6e1d-0d17-4d6e-8a82-66d960df0e40,International Conference on Learning Representations,pro81
con82,61a709e3-2060-423c-8de5-ffd3885aa31c,International Conference on Medical Image Computing and Computer-Assisted Intervention,pro82
con83,69d79d4c-49aa-4c2b-b616-80100a634f67,Networks,pro83
con84,f1660451-ee90-4350-a9aa-cd9063707d38,Workshop on Interdisciplinary Software Engineering Research,pro84
con85,f4989ee4-e1d2-45b4-85ad-c43a8ffef177,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,pro85
con86,e07422f9-c065-40c3-a37b-75e98dce79fe,The Web Conference,pro86
con87,0d6f7fba-7092-46b3-8039-93458dba736b,"IEEE International Conference on Acoustics, Speech, and Signal Processing",pro87
con88,167fa0ca-e88a-4ef7-a16f-bc66c457c806,European Conference on Computer Vision,pro88
con89,f9af8000-42f8-410d-a622-e8811e41660a,Conference on Uncertainty in Artificial Intelligence,pro89
con90,768b87bb-8a18-4d9c-a161-4d483c776bcf,Computer Vision and Pattern Recognition,pro90
con91,8113a511-e0d9-4231-a1bc-0bf5d0212a4e,Symposium on the Theory of Computing,pro91
con92,f8e3f8d0-0f40-48c0-b3c0-0c540237b859,Human Language Technology - The Baltic Perspectiv,pro92
con93,30a8645d-22d4-42e2-b3f6-304bf4ce3a02,International Conference on Computational Logic,pro93
con94,4144b5fb-0a80-4663-8ebf-80ca0c47231a,Vision,pro94
con95,7654260e-79f9-45c5-9663-d72027cf88f3,IEEE International Conference on Computer Vision,pro95
con96,af90489e-312f-4514-bea2-bcb399cb8ece,Interspeech,pro96
con97,f68b9e7e-ad3d-46cb-857d-23e49384143c,ACM SIGMOD Conference,pro97
con98,d7d7587f-a1e9-46a4-9db5-54c95787c6f1,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,pro98
con99,01103732-3808-4930-b8e4-7e9e68d5c68d,North American Chapter of the Association for Computational Linguistics,pro99
con100,3978c4ee-3451-46b1-a92c-33686a0e8afe,International Conference on Automatic Face and Gesture Recognition,pro100
con101,c884b267-162e-4c75-916e-f7b80bf543f9,International Conference on Biometrics,pro101
con102,8f0f5460-2391-4d75-ae39-d9b233b91e0a,Annual Haifa Experimental Systems Conference,pro102
con103,975e1529-a14b-436f-ad7e-a09d8eabc50d,IEEE International Conference on Multimedia and Expo,pro103
con104,f5a49005-d5b9-484b-801d-1a88308f9ca3,Biometrics and Identity Management,pro104
con105,78a7fbcc-41c5-4258-b633-04b8637d4a9f,British Machine Vision Conference,pro105
con106,187dde4a-2b59-491b-b6cf-1a8618878cdc,International Conference on Mobile Data Management,pro106
con107,486306ab-f860-4372-9544-62151e34ec3b,Chinese Conference on Biometric Recognition,pro107
con108,36345509-1ef5-40ea-8193-7b39cb132760,International Conference on Information Integration and Web-based Applications & Services,pro108
con109,cfc287e4-4c04-4848-ab16-633b33a61a09,International Society for Music Information Retrieval Conference,pro109
con110,a5c58053-0673-4cdb-b2b8-b6b0ad6911d1,Very Large Data Bases Conference,pro110
con111,c89c0957-b21e-40c3-9e6c-0ab46adf1e53,International Conference on Image Analysis and Processing,pro111
