conferenceJournalId,proceedingsVolumeIds
con53,pro53
con44,pro44
con45,pro45
jou152,vol152
con75,pro75
con100,pro100
con90,pro90
con108,pro108
jou162,vol162
jou114,vol114
jou156,vol156
jou151,vol151
jou156,vol156
con98,pro98
con6,pro6
jou155,vol155
con93,pro93
con45,pro45
con42,pro42
jou88,vol88
jou151,vol151
con0,pro0
con64,pro64
jou163,vol163
con76,pro76
con107,pro107
jou164,vol164
con46,pro46
jou152,vol152
con2,pro2
jou152,vol152
con13,pro13
jou160,vol160
con55,pro55
con31,pro31
jou155,vol155
con69,pro69
con73,pro73
con2,pro2
jou155,vol155
con65,pro65
con6,pro6
jou151,vol151
jou155,vol155
jou158,vol158
con2,pro2
con77,pro77
con2,pro2
con55,pro55
jou152,vol152
con15,pro15
jou165,vol165
jou166,vol166
con2,pro2
con2,pro2
con2,pro2
con47,pro47
jou152,vol152
jou158,vol158
con63,pro63
con73,pro73
con32,pro32
con48,pro48
con20,pro20
con49,pro49
con49,pro49
con102,pro102
con50,pro50
jou155,vol155
jou156,vol156
con9,pro9
jou155,vol155
jou155,vol155
jou152,vol152
jou151,vol151
jou156,vol156
jou49,vol49
con51,pro51
con33,pro33
jou155,vol155
con14,pro14
con17,pro17
con89,pro89
con91,pro91
con85,pro85
con34,pro34
con44,pro44
con38,pro38
jou160,vol160
con38,pro38
jou152,vol152
con31,pro31
con110,pro110
jou152,vol152
jou167,vol167
con77,pro77
jou160,vol160
jou168,vol168
con68,pro68
con101,pro101
con39,pro39
con31,pro31
jou155,vol155
jou156,vol156
jou151,vol151
con52,pro52
con85,pro85
con12,pro12
con55,pro55
con37,pro37
jou160,vol160
con54,pro54
con42,pro42
con31,pro31
con96,pro96
con33,pro33
con27,pro27
con53,pro53
jou152,vol152
con2,pro2
con48,pro48
jou155,vol155
con8,pro8
jou155,vol155
jou160,vol160
jou152,vol152
con78,pro78
con55,pro55
jou156,vol156
con54,pro54
con55,pro55
jou152,vol152
jou152,vol152
con15,pro15
con15,pro15
con59,pro59
con56,pro56
con62,pro62
jou160,vol160
con31,pro31
con38,pro38
con41,pro41
con42,pro42
jou157,vol157
con101,pro101
jou151,vol151
jou152,vol152
con18,pro18
con57,pro57
con73,pro73
con5,pro5
con2,pro2
con67,pro67
con88,pro88
con61,pro61
jou169,vol169
con81,pro81
con33,pro33
jou155,vol155
con55,pro55
con94,pro94
con33,pro33
con19,pro19
con16,pro16
jou170,vol170
con50,pro50
jou152,vol152
con38,pro38
jou171,vol171
jou172,vol172
jou68,vol68
con100,pro100
con7,pro7
con38,pro38
jou155,vol155
jou3,vol3
con38,pro38
jou151,vol151
jou160,vol160
con108,pro108
jou160,vol160
jou155,vol155
jou168,vol168
jou173,vol173
con58,pro58
con73,pro73
con46,pro46
jou160,vol160
con104,pro104
con59,pro59
con106,pro106
con110,pro110
con73,pro73
jou152,vol152
con38,pro38
con60,pro60
con58,pro58
con61,pro61
con69,pro69
con91,pro91
con2,pro2
jou152,vol152
jou151,vol151
con47,pro47
con49,pro49
jou163,vol163
con60,pro60
con1,pro1
con72,pro72
con2,pro2
con37,pro37
con62,pro62
con19,pro19
con64,pro64
con105,pro105
con108,pro108
jou151,vol151
con63,pro63
jou155,vol155
jou35,vol35
con102,pro102
con85,pro85
con34,pro34
con22,pro22
jou156,vol156
jou152,vol152
con77,pro77
con40,pro40
con40,pro40
jou160,vol160
con2,pro2
con2,pro2
con26,pro26
con64,pro64
con64,pro64
con101,pro101
con65,pro65
con79,pro79
jou160,vol160
con16,pro16
con9,pro9
con25,pro25
con11,pro11
jou174,vol174
con60,pro60
con42,pro42
con2,pro2
con41,pro41
con2,pro2
con2,pro2
con96,pro96
con56,pro56
con43,pro43
con2,pro2
con15,pro15
con46,pro46
con90,pro90
con66,pro66
jou175,vol175
con67,pro67
con110,pro110
con2,pro2
con20,pro20
con91,pro91
con68,pro68
con12,pro12
jou160,vol160
con87,pro87
con68,pro68
con4,pro4
con105,pro105
con66,pro66
jou176,vol176
con84,pro84
jou177,vol177
con69,pro69
con108,pro108
con93,pro93
jou178,vol178
con72,pro72
con33,pro33
con11,pro11
jou11,vol11
con46,pro46
con77,pro77
con2,pro2
con76,pro76
con92,pro92
con39,pro39
con72,pro72
con46,pro46
con2,pro2
jou171,vol171
con19,pro19
jou160,vol160
con2,pro2
con17,pro17
con98,pro98
con58,pro58
con10,pro10
jou160,vol160
con82,pro82
con101,pro101
jou171,vol171
con37,pro37
jou179,vol179
con92,pro92
con70,pro70
jou151,vol151
con33,pro33
con58,pro58
con103,pro103
con55,pro55
con105,pro105
con100,pro100
con71,pro71
con8,pro8
con11,pro11
con65,pro65
jou152,vol152
con45,pro45
jou166,vol166
con62,pro62
jou152,vol152
con56,pro56
con45,pro45
con51,pro51
con110,pro110
con82,pro82
jou171,vol171
con20,pro20
con47,pro47
con79,pro79
jou160,vol160
jou3,vol3
jou180,vol180
jou160,vol160
con29,pro29
jou160,vol160
con104,pro104
con89,pro89
con5,pro5
con104,pro104
con104,pro104
jou181,vol181
con108,pro108
con27,pro27
con48,pro48
jou158,vol158
con100,pro100
con4,pro4
jou151,vol151
con72,pro72
jou160,vol160
con12,pro12
con6,pro6
con90,pro90
con26,pro26
con75,pro75
con43,pro43
con62,pro62
con52,pro52
jou181,vol181
con57,pro57
con2,pro2
con108,pro108
con91,pro91
con1,pro1
con58,pro58
con53,pro53
con1,pro1
con9,pro9
con96,pro96
con35,pro35
con48,pro48
con3,pro3
con94,pro94
con96,pro96
con29,pro29
jou181,vol181
con89,pro89
con68,pro68
con2,pro2
con54,pro54
con55,pro55
con23,pro23
con2,pro2
jou171,vol171
jou181,vol181
con66,pro66
jou181,vol181
con75,pro75
con95,pro95
con4,pro4
con89,pro89
con65,pro65
con2,pro2
con2,pro2
jou160,vol160
jou182,vol182
jou160,vol160
con2,pro2
con24,pro24
con2,pro2
con100,pro100
con110,pro110
con43,pro43
con104,pro104
con52,pro52
con92,pro92
con46,pro46
jou183,vol183
con51,pro51
jou5,vol5
jou106,vol106
con82,pro82
con69,pro69
con60,pro60
con23,pro23
jou0,vol0
con66,pro66
con9,pro9
jou184,vol184
con11,pro11
con13,pro13
jou0,vol0
con5,pro5
con28,pro28
con107,pro107
con92,pro92
con72,pro72
con74,pro74
con107,pro107
jou106,vol106
con0,pro0
jou75,vol75
con108,pro108
con107,pro107
jou185,vol185
con96,pro96
jou186,vol186
jou187,vol187
con7,pro7
con97,pro97
jou147,vol147
con52,pro52
con66,pro66
con40,pro40
jou188,vol188
con73,pro73
con93,pro93
con35,pro35
con87,pro87
con110,pro110
jou88,vol88
con89,pro89
jou189,vol189
jou190,vol190
con58,pro58
jou49,vol49
con78,pro78
con85,pro85
jou191,vol191
jou75,vol75
jou192,vol192
jou193,vol193
con15,pro15
con65,pro65
con42,pro42
con73,pro73
con99,pro99
con8,pro8
con96,pro96
jou194,vol194
jou195,vol195
jou196,vol196
jou197,vol197
jou198,vol198
jou199,vol199
con109,pro109
jou182,vol182
jou200,vol200
jou201,vol201
jou75,vol75
jou81,vol81
jou202,vol202
con68,pro68
jou75,vol75
con21,pro21
con40,pro40
con61,pro61
jou88,vol88
con82,pro82
jou203,vol203
jou204,vol204
jou190,vol190
con57,pro57
jou2,vol2
con57,pro57
con54,pro54
con49,pro49
con73,pro73
con78,pro78
jou88,vol88
con56,pro56
con30,pro30
jou88,vol88
jou205,vol205
jou206,vol206
con103,pro103
jou207,vol207
jou208,vol208
con59,pro59
jou75,vol75
con87,pro87
con35,pro35
con70,pro70
jou81,vol81
jou81,vol81
jou209,vol209
jou187,vol187
jou81,vol81
jou2,vol2
jou81,vol81
jou210,vol210
con19,pro19
con17,pro17
con17,pro17
con3,pro3
con93,pro93
con89,pro89
con45,pro45
con31,pro31
con5,pro5
con1,pro1
con19,pro19
con100,pro100
jou133,vol133
jou211,vol211
con101,pro101
jou212,vol212
con79,pro79
jou81,vol81
con11,pro11
con81,pro81
jou213,vol213
jou214,vol214
con51,pro51
con13,pro13
con57,pro57
jou215,vol215
con22,pro22
jou81,vol81
jou158,vol158
con76,pro76
con5,pro5
con77,pro77
jou216,vol216
con95,pro95
con62,pro62
jou133,vol133
con106,pro106
con4,pro4
con12,pro12
jou217,vol217
con7,pro7
jou218,vol218
jou219,vol219
con69,pro69
con100,pro100
jou81,vol81
con85,pro85
con21,pro21
jou220,vol220
con31,pro31
jou202,vol202
con86,pro86
jou221,vol221
con49,pro49
con42,pro42
con9,pro9
con94,pro94
con97,pro97
con69,pro69
con53,pro53
jou81,vol81
con15,pro15
jou197,vol197
jou81,vol81
jou209,vol209
con26,pro26
con96,pro96
con109,pro109
jou222,vol222
con88,pro88
jou212,vol212
jou81,vol81
jou223,vol223
con61,pro61
con48,pro48
con76,pro76
con77,pro77
con64,pro64
con45,pro45
con59,pro59
jou158,vol158
con110,pro110
con65,pro65
jou168,vol168
jou197,vol197
con111,pro111
con109,pro109
con55,pro55
jou81,vol81
con75,pro75
con75,pro75
jou81,vol81
jou224,vol224
jou225,vol225
con100,pro100
con42,pro42
con63,pro63
con108,pro108
con79,pro79
con106,pro106
con42,pro42
con43,pro43
con70,pro70
con44,pro44
con69,pro69
con80,pro80
con8,pro8
con27,pro27
con17,pro17
con105,pro105
con110,pro110
con37,pro37
con106,pro106
con16,pro16
con107,pro107
con9,pro9
con39,pro39
con41,pro41
con9,pro9
con55,pro55
con17,pro17
con99,pro99
con58,pro58
con48,pro48
con64,pro64
con66,pro66
con71,pro71
con8,pro8
jou226,vol226
con53,pro53
con62,pro62
con30,pro30
con96,pro96
con20,pro20
con69,pro69
con7,pro7
con81,pro81
jou227,vol227
con20,pro20
con30,pro30
con53,pro53
con86,pro86
con89,pro89
con51,pro51
con94,pro94
con50,pro50
con111,pro111
con105,pro105
con103,pro103
con32,pro32
con19,pro19
con57,pro57
con39,pro39
con57,pro57
con52,pro52
con98,pro98
con75,pro75
con6,pro6
con50,pro50
con85,pro85
con5,pro5
jou81,vol81
con48,pro48
con8,pro8
con102,pro102
con84,pro84
con91,pro91
con11,pro11
con74,pro74
jou133,vol133
con3,pro3
con51,pro51
con55,pro55
con70,pro70
jou109,vol109
con10,pro10
jou81,vol81
jou212,vol212
con23,pro23
con50,pro50
con2,pro2
con86,pro86
jou228,vol228
jou229,vol229
con49,pro49
con65,pro65
jou230,vol230
jou231,vol231
jou81,vol81
jou232,vol232
jou9,vol9
con21,pro21
jou233,vol233
jou234,vol234
con100,pro100
con56,pro56
con18,pro18
jou235,vol235
jou81,vol81
jou236,vol236
con88,pro88
con40,pro40
con56,pro56
jou237,vol237
con76,pro76
jou30,vol30
con14,pro14
jou81,vol81
con61,pro61
jou183,vol183
con3,pro3
jou238,vol238
jou235,vol235
jou239,vol239
con82,pro82
con87,pro87
con51,pro51
con47,pro47
jou240,vol240
jou22,vol22
jou241,vol241
jou229,vol229
jou242,vol242
con60,pro60
con67,pro67
jou81,vol81
con58,pro58
con58,pro58
jou243,vol243
con94,pro94
con5,pro5
jou244,vol244
con75,pro75
jou88,vol88
jou81,vol81
con31,pro31
con67,pro67
jou81,vol81
con11,pro11
jou22,vol22
jou81,vol81
jou103,vol103
con56,pro56
con98,pro98
con17,pro17
jou202,vol202
con78,pro78
con25,pro25
con60,pro60
jou0,vol0
con57,pro57
con22,pro22
jou245,vol245
con75,pro75
jou189,vol189
jou88,vol88
con110,pro110
con38,pro38
con39,pro39
jou246,vol246
con62,pro62
con34,pro34
con76,pro76
con80,pro80
con107,pro107
con63,pro63
con39,pro39
jou247,vol247
con21,pro21
jou106,vol106
con105,pro105
con34,pro34
jou248,vol248
con7,pro7
con53,pro53
con41,pro41
con77,pro77
con9,pro9
jou81,vol81
con39,pro39
con53,pro53
con108,pro108
jou7,vol7
con14,pro14
con56,pro56
jou249,vol249
jou250,vol250
jou251,vol251
con14,pro14
con102,pro102
jou252,vol252
jou158,vol158
con97,pro97
con105,pro105
con88,pro88
con30,pro30
con44,pro44
con28,pro28
con68,pro68
con78,pro78
con8,pro8
jou81,vol81
jou63,vol63
con71,pro71
con70,pro70
con58,pro58
con13,pro13
con87,pro87
con40,pro40
jou88,vol88
con25,pro25
con65,pro65
jou88,vol88
con82,pro82
jou147,vol147
con37,pro37
jou88,vol88
con0,pro0
con78,pro78
con16,pro16
jou22,vol22
jou253,vol253
con71,pro71
con103,pro103
con35,pro35
con75,pro75
con96,pro96
jou254,vol254
con106,pro106
jou106,vol106
jou103,vol103
con8,pro8
jou5,vol5
con24,pro24
jou255,vol255
con90,pro90
jou81,vol81
con95,pro95
jou2,vol2
jou187,vol187
con45,pro45
jou256,vol256
jou257,vol257
jou205,vol205
con100,pro100
jou243,vol243
jou258,vol258
con38,pro38
con66,pro66
jou259,vol259
jou260,vol260
con53,pro53
jou81,vol81
con26,pro26
con38,pro38
con5,pro5
jou22,vol22
con54,pro54
con73,pro73
con100,pro100
con107,pro107
con66,pro66
con82,pro82
con103,pro103
jou81,vol81
con73,pro73
con26,pro26
jou81,vol81
jou261,vol261
con50,pro50
jou262,vol262
jou81,vol81
jou103,vol103
con92,pro92
con83,pro83
jou263,vol263
con110,pro110
con2,pro2
jou264,vol264
jou5,vol5
con78,pro78
con102,pro102
jou81,vol81
con1,pro1
con23,pro23
con72,pro72
con97,pro97
con42,pro42
jou265,vol265
con34,pro34
con64,pro64
con84,pro84
jou266,vol266
jou267,vol267
con104,pro104
jou268,vol268
con106,pro106
jou269,vol269
jou270,vol270
jou271,vol271
con4,pro4
jou272,vol272
jou273,vol273
con11,pro11
con65,pro65
con0,pro0
con52,pro52
jou274,vol274
jou88,vol88
jou182,vol182
con50,pro50
con103,pro103
jou267,vol267
jou88,vol88
jou275,vol275
jou276,vol276
con79,pro79
jou277,vol277
con3,pro3
con4,pro4
con7,pro7
con10,pro10
con12,pro12
con42,pro42
con69,pro69
jou278,vol278
con35,pro35
con60,pro60
con68,pro68
con72,pro72
con104,pro104
con68,pro68
con8,pro8
con34,pro34
jou279,vol279
jou280,vol280
con53,pro53
con50,pro50
con15,pro15
jou281,vol281
con100,pro100
con77,pro77
con68,pro68
jou282,vol282
jou283,vol283
con68,pro68
con22,pro22
con16,pro16
con102,pro102
con88,pro88
con75,pro75
con21,pro21
con81,pro81
con20,pro20
con72,pro72
con99,pro99
jou284,vol284
jou285,vol285
con16,pro16
con77,pro77
con80,pro80
con49,pro49
con92,pro92
con78,pro78
con78,pro78
con106,pro106
jou286,vol286
con13,pro13
con63,pro63
con110,pro110
con41,pro41
jou133,vol133
con39,pro39
con11,pro11
jou100,vol100
con81,pro81
jou287,vol287
con73,pro73
con77,pro77
con48,pro48
con82,pro82
jou288,vol288
con80,pro80
con3,pro3
con29,pro29
con46,pro46
jou289,vol289
con41,pro41
con94,pro94
con110,pro110
con3,pro3
con72,pro72
con105,pro105
jou290,vol290
con0,pro0
con100,pro100
con78,pro78
con8,pro8
jou291,vol291
con31,pro31
con15,pro15
jou286,vol286
con73,pro73
con76,pro76
con66,pro66
con65,pro65
con83,pro83
con29,pro29
con46,pro46
con102,pro102
con64,pro64
con88,pro88
con62,pro62
jou292,vol292
con1,pro1
con83,pro83
jou290,vol290
con94,pro94
con63,pro63
con89,pro89
con77,pro77
jou293,vol293
con30,pro30
jou17,vol17
jou102,vol102
jou182,vol182
con85,pro85
con77,pro77
con30,pro30
jou294,vol294
jou295,vol295
con54,pro54
con76,pro76
con44,pro44
con28,pro28
con49,pro49
con77,pro77
jou129,vol129
con65,pro65
con24,pro24
con90,pro90
con66,pro66
jou296,vol296
con49,pro49
con58,pro58
jou297,vol297
con7,pro7
jou298,vol298
con82,pro82
con69,pro69
con60,pro60
con72,pro72
jou299,vol299
jou300,vol300
con78,pro78
jou17,vol17
jou9,vol9
con88,pro88
con59,pro59
con74,pro74
con84,pro84
jou301,vol301
jou302,vol302
con32,pro32
jou133,vol133
con34,pro34
con13,pro13
con110,pro110
jou303,vol303
con101,pro101
con66,pro66
con109,pro109
con108,pro108
con37,pro37
con95,pro95
con48,pro48
con54,pro54
con99,pro99
con61,pro61
jou219,vol219
jou266,vol266
con61,pro61
con57,pro57
con97,pro97
con84,pro84
con89,pro89
con108,pro108
con54,pro54
con3,pro3
con31,pro31
con34,pro34
jou304,vol304
con99,pro99
con22,pro22
con86,pro86
con31,pro31
con54,pro54
con15,pro15
con52,pro52
con76,pro76
con66,pro66
con101,pro101
con80,pro80
con89,pro89
jou219,vol219
jou305,vol305
con56,pro56
con43,pro43
jou306,vol306
con105,pro105
con108,pro108
con86,pro86
jou304,vol304
con45,pro45
con56,pro56
jou304,vol304
con6,pro6
con39,pro39
con14,pro14
con51,pro51
jou290,vol290
con104,pro104
con10,pro10
con37,pro37
con79,pro79
con29,pro29
con61,pro61
con25,pro25
con44,pro44
con21,pro21
con20,pro20
con1,pro1
con34,pro34
jou307,vol307
con77,pro77
con1,pro1
con24,pro24
con101,pro101
con58,pro58
con40,pro40
con42,pro42
con82,pro82
con35,pro35
con48,pro48
con13,pro13
