ID,name,city
25033541,"5th International Conference on Computer Science and Educational Informatization, CSEI 2023",Kunming
89090674,"5th International Conference on Computer Science and Educational Informatization, CSEI 2023",Kunming
49169856,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
32139884,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
30543648,"4th EAI International Conference on Cognitive Computing and Cyber Physical Systems, IC4S 2023",Bhimavaram
96470615,"20th International Conference on Services Computing, SCC 2023 held as Part of the Services Conference Federation, SCF 2023",Shenzhen
88828815,"18th CCF Conference on Computer Supported Cooperative Work and Social Computing, ChineseCSCW 2023",Harbin
89155561,"29th International Conference on Information and Software Technologies, ICIST 2023",Kaunas
25299646,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
58529580,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
34305126,"12th Global Conference on Materials Science and Engineering, CMSE 2023","Hybrid, Shenzhen"
77385377,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
51576504,"56th International Conference on Asia Pacific Advanced Network, APANConf 2023",Colombo
42205549,"40th Computer Graphics International Conference, CGI 2023",Shanghai
70222566,"8th Purple Mountain Forum on Smart Grid Protection and Control, PMF 2023",Nanjing
15206381,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
23235774,"2nd International Conference on Advances in Information and Communication Technology, ICTA 2023",Thai Nguyen
42679789,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
48868274,"26th International Conference series on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2023",Florianópolis
82901818,"9th Latin American Congress on Biomedical Engineering, CLAIB 2022 and 28th Brazilian Congress on Biomedical Engineering, CBEB 2022",Florianópolis
75542908,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
76155492,"7th International Congress and Workshop on Industrial AI and eMaintenance, IAI 2023",Luleå
26753176,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
80144974,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
45608619,"13th International Conference on Computer Engineering and Networks, CENet 2023",Wuxi
60770538,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
67970425,"8th Purple Mountain Forum on Smart Grid Protection and Control, PMF 2023",Nanjing
50135943,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
57611589,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
