ID,name,year,edition
197354.0,"6th International Conference on Algorithms, Computing and Artificial Intelligence, ACAI 2023",2023,1.0
196005.0,"2021 International Scientific and Practical Conference on Railway Transport and Technologies, RTT 2021",2021,1.0
196197.0,"2nd International Conference on Emerging Technology Trends in Internet of Things and Computing, TIOTC 2022",2022,1.0
196704.0,"18th ACM International Symposium on Nanoscale Architectures, NANOARCH 2023",2023,1.0
196047.0,"SAE 2023 Intelligent and Connected Vehicles Symposium, ICVS 2023",2023,1.0
195564.0,"3rd International Conference on Applied Mathematics, Modeling and Computer Simulation, AMMCS 2023",2023,1.0
196180.0,"2nd International Conference on Energy and Green Computing, ICEGC 2023",2023,1.0
196174.0,"2023 8th International Conference on Advances in Energy and Environment Research and Clean Energy and Energy Storage Technology Forum, ICAEER 2023 and CEEST 2023",2023,1.0
195544.0,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",2023,1.0
195643.0,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",2023,1.0
195477.0,"2023 SIGGRAPH Asia 2023 Art Papers, SA 2023",2023,1.0
196164.0,"2023 Rudenko International Conference on Methodological Problems in Reliability Study of Large Energy Systems, RSES 2023",2023,1.0
195622.0,"27th European Cosmic Ray Symposium, ECRS 2022",2022,1.0
195401.0,"12th International Symposium on Information and Communication Technology, SOICT 2023",2023,1.0
196221.0,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023 Workshops",2023,1.0
195682.0,"1st International Conference on Applied Data Science and Smart Systems, ADSSS 2022",2022,1.0
196217.0,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023",2023,1.0
195251.0,"11th Conference on Human-Agent Interaction, HAI 2023",2023,1.0
195276.0,"4th Tarumanagara International Conference of the Applications of Technology and Engineering, TICATE 2021",2021,1.0
195225.0,"39th Annual Computer Security Applications Conference, ACSAC 2023",2023,1.0
195565.0,"8th International Technical Conference on Frontiers of Hydraulic and Civil Engineering Technology, HCET 2023",2023,1.0
195310.0,"18th International Symposium on Parameterized and Exact Computation, IPEC 2023",2023,1.0
194733.0,"34th International Symposium on Algorithms and Computation, ISAAC 2023",2023,1.0
195093.0,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",2023,1.0
194860.0,"2023 SIGGRAPH Asia 2023 Technical Communications, SA Technical Communications 2023",2023,1.0
194757.0,"22nd ACM Workshop on Hot Topics in Networks, HotNets 2023",2023,1.0
195580.0,"3rd International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2023",2023,1.0
194767.0,"2023 Workshop on Decentralized Finance and Security, DeFi 2023",2023,1.0
194865.0,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",2023,1.0
194781.0,"1st International Conference on Contemporary Innovations in Mechanical Engineering, CIME 2022",2022,1.0
194775.0,"2021 International Conference on Emerging Trends in Materials, Computing and Communication Technologies, ICETMCCT 2021",2021,1.0
194676.0,"10th ACM Workshop on Moving Target Defense, MTD 2023",2023,1.0
194764.0,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",2023,1.0
197101.0,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",2023,1.0
196216.0,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",2023,1.0
194664.0,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",2023,1.0
194502.0,"International Conference on Engineering Research and Application 2022, ICERA 2022",2022,1.0
194705.0,"6th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery, GeoAI 2023",2023,1.0
194515.0,"8th ACM SIGSPATIAL International Workshop on Security Response using GIS, EM-GIS 2023",2023,1.0
194484.0,"4th International Conference on Material Science and Applications, ICMSA 2021",2021,1.0
194341.0,"2023 International Conference on High Performance Computing, Network, Storage, and Analysis, SC Workshops 2023",2023,1.0
195645.0,"1st ACM SIGSPATIAL International Workshop on Sustainable Mobility, SuMob 2023",2023,1.0
