START_ID,END_ID
2-s2.0-85185455424,76072715
2-s2.0-85185455424,49708729
2-s2.0-85185455424,80281020
2-s2.0-85185979605,97556584
2-s2.0-85185979605,40121648
2-s2.0-85185979605,81083234
2-s2.0-85183020493,36120293
2-s2.0-85183020493,86982256
2-s2.0-85183020493,36367464
2-s2.0-85184219087,46898778
2-s2.0-85184219087,68432796
2-s2.0-85184219087,16416084
2-s2.0-85185522197,33228797
2-s2.0-85185522197,66475808
2-s2.0-85185522197,24964444
2-s2.0-85183387773,67153997
2-s2.0-85183387773,93835231
2-s2.0-85183387773,83520490
2-s2.0-85185135484,29779042
2-s2.0-85185135484,10275054
2-s2.0-85185135484,50758719
2-s2.0-85183631176,84922619
2-s2.0-85183631176,29348571
2-s2.0-85183631176,80281020
2-s2.0-85183655005,81852342
2-s2.0-85183655005,89304104
2-s2.0-85183655005,30179771
2-s2.0-85184110555,37933298
2-s2.0-85184110555,31995264
2-s2.0-85184110555,17475910
2-s2.0-85185131100,56673400
2-s2.0-85185131100,72662350
2-s2.0-85185131100,27867326
2-s2.0-85183786792,16302961
2-s2.0-85183786792,36120293
2-s2.0-85183786792,65309261
2-s2.0-85182840590,75837970
2-s2.0-85182840590,97395516
2-s2.0-85182840590,90466776
2-s2.0-85184105521,50278441
2-s2.0-85184105521,46316901
2-s2.0-85184105521,44582889
2-s2.0-85183792036,42520903
2-s2.0-85183792036,10015897
2-s2.0-85183792036,71339362
2-s2.0-85182499878,37883182
2-s2.0-85182499878,61709449
2-s2.0-85182499878,88100205
2-s2.0-85182696785,28512261
2-s2.0-85182696785,90648812
2-s2.0-85182696785,98375770
2-s2.0-85185502177,20441901
2-s2.0-85185502177,68357934
2-s2.0-85185502177,35846034
2-s2.0-85182684565,87105581
2-s2.0-85182684565,72994214
2-s2.0-85182684565,35846034
2-s2.0-85185540777,60997784
2-s2.0-85185540777,91722188
2-s2.0-85185540777,14404195
2-s2.0-85185237420,16038976
2-s2.0-85185237420,62395719
2-s2.0-85185237420,88672487
2-s2.0-85182981752,43927066
2-s2.0-85182981752,18986035
2-s2.0-85182981752,43237237
2-s2.0-85185916796,66716870
2-s2.0-85185916796,52891123
2-s2.0-85185916796,84997499
2-s2.0-85184268537,92085882
2-s2.0-85184268537,65737579
2-s2.0-85184268537,36800779
2-s2.0-85185974339,17014644
2-s2.0-85185974339,16416084
2-s2.0-85185974339,40121648
2-s2.0-85185496295,72049652
2-s2.0-85185496295,24481578
2-s2.0-85185496295,19721293
2-s2.0-85183607198,41713372
2-s2.0-85183607198,10212480
2-s2.0-85183607198,72366989
2-s2.0-85183827137,26000337
2-s2.0-85183827137,30072756
2-s2.0-85183827137,54466356
2-s2.0-85183605696,14451660
2-s2.0-85183605696,57102919
2-s2.0-85183605696,99952420
2-s2.0-85185329612,95353466
2-s2.0-85185329612,25350564
2-s2.0-85185329612,50758719
2-s2.0-85185124499,99062497
2-s2.0-85185124499,48663214
2-s2.0-85185124499,68245533
2-s2.0-85183406078,55344543
2-s2.0-85183406078,57779587
2-s2.0-85183406078,69421427
2-s2.0-85183911168,72110874
2-s2.0-85183911168,76530370
2-s2.0-85183911168,42350278
2-s2.0-85183127918,87830005
2-s2.0-85183127918,64542115
2-s2.0-85183127918,18911602
2-s2.0-85181852184,28141301
2-s2.0-85181852184,98381567
2-s2.0-85181852184,55046765
2-s2.0-85181874649,68146947
2-s2.0-85181874649,33725835
2-s2.0-85181874649,14404195
2-s2.0-85185271303,79369128
2-s2.0-85185271303,92085882
2-s2.0-85185271303,72654832
2-s2.0-85181230481,92682196
2-s2.0-85181230481,92085882
2-s2.0-85181230481,53435624
2-s2.0-85181249092,80699068
2-s2.0-85181249092,48021154
2-s2.0-85181249092,55344543
2-s2.0-85181910320,68049258
2-s2.0-85181910320,88892624
2-s2.0-85181910320,98002890
2-s2.0-85182462320,68146947
2-s2.0-85182462320,88358627
2-s2.0-85182462320,82891195
2-s2.0-85182193508,81322945
2-s2.0-85182193508,18862389
2-s2.0-85182193508,50758719
2-s2.0-85182199295,27973994
2-s2.0-85182199295,97884642
2-s2.0-85182199295,53127986
2-s2.0-85185317859,51775847
2-s2.0-85185317859,71958656
2-s2.0-85185317859,68283016
2-s2.0-85181669346,69757382
2-s2.0-85181669346,66656120
2-s2.0-85181669346,87494945
2-s2.0-85183536890,28735095
2-s2.0-85183536890,41812764
2-s2.0-85183536890,96117231
2-s2.0-85181686987,25327800
2-s2.0-85181686987,80341474
2-s2.0-85181686987,62849607
2-s2.0-85185327699,18163982
2-s2.0-85185327699,96383882
2-s2.0-85185327699,41663849
2-s2.0-85182463369,40121648
2-s2.0-85182463369,28735095
2-s2.0-85182463369,12767192
2-s2.0-85182475629,48021154
2-s2.0-85182475629,10015897
2-s2.0-85182475629,40121648
2-s2.0-85182432140,91060728
2-s2.0-85182432140,54323418
2-s2.0-85182432140,90001797
2-s2.0-85180956161,81389706
2-s2.0-85180956161,70526408
2-s2.0-85180956161,44769546
2-s2.0-85184797583,28735095
2-s2.0-85184797583,91382523
2-s2.0-85184797583,18696482
2-s2.0-85185318666,65408314
2-s2.0-85185318666,98381567
