START_ID,END_ID
2-s2.0-85184139053,196602.0
2-s2.0-85184113864,305379.0
2-s2.0-85184146593,196726.0
2-s2.0-85184115016,306979.0
2-s2.0-85184135986,196737.0
2-s2.0-85184111715,306749.0
2-s2.0-85184090627,306789.0
2-s2.0-85184118232,306999.0
2-s2.0-85184136048,196645.0
2-s2.0-85184139877,196721.0
2-s2.0-85184105983,307069.0
2-s2.0-85184090437,306739.0
2-s2.0-85184123963,306979.0
2-s2.0-85184133806,306749.0
2-s2.0-85184153133,196726.0
2-s2.0-85184151086,196726.0
2-s2.0-85184117289,306799.0
2-s2.0-85184125492,306789.0
2-s2.0-85184137324,196726.0
2-s2.0-85184143207,196726.0
2-s2.0-85184140333,196645.0
2-s2.0-85184140060,196726.0
2-s2.0-85184153248,196726.0
2-s2.0-85184147090,196726.0
2-s2.0-85183920995,196654.0
2-s2.0-85183904486,196395.0
2-s2.0-85183921761,196654.0
2-s2.0-85183856288,196654.0
2-s2.0-85183868898,196654.0
2-s2.0-85183462215,196396.0
2-s2.0-85183467130,196396.0
2-s2.0-85183048996,196457.0
2-s2.0-85183039695,196457.0
2-s2.0-85182993328,196457.0
2-s2.0-85182586794,306509.0
2-s2.0-85182520812,306509.0
2-s2.0-85182515636,306349.0
2-s2.0-85182587897,306509.0
2-s2.0-85182515982,306629.0
2-s2.0-85182593659,306639.0
2-s2.0-85182607273,306639.0
2-s2.0-85182595453,306509.0
2-s2.0-85182607444,306509.0
2-s2.0-85182595615,306529.0
2-s2.0-85182592754,306669.0
2-s2.0-85182598113,306519.0
2-s2.0-85182519375,306629.0
2-s2.0-85182597932,306509.0
2-s2.0-85182508806,306509.0
2-s2.0-85182522137,196233.0
2-s2.0-85182599570,306509.0
2-s2.0-85182007286,306209.0
2-s2.0-85181978101,306019.0
2-s2.0-85181977011,306409.0
2-s2.0-85181984575,306079.0
2-s2.0-85181981500,305189.0
2-s2.0-85181980752,304439.0
2-s2.0-85181980113,306309.0
2-s2.0-85181776183,305619.0
2-s2.0-85181976412,306079.0
2-s2.0-85181984302,306139.0
2-s2.0-85181985071,306079.0
2-s2.0-85181975827,306079.0
2-s2.0-85181976923,306289.0
2-s2.0-85181984252,306079.0
2-s2.0-85181977207,306409.0
2-s2.0-85181981657,306079.0
2-s2.0-85181984926,306079.0
2-s2.0-85181985333,306079.0
2-s2.0-85181983272,304439.0
2-s2.0-85181978764,306079.0
2-s2.0-85181982691,306079.0
2-s2.0-85181984904,306289.0
2-s2.0-85181762303,306009.0
2-s2.0-85180629461,305379.0
2-s2.0-85180782979,305869.0
2-s2.0-85180620896,305379.0
2-s2.0-85180625412,305419.0
2-s2.0-85180806344,305839.0
2-s2.0-85180747710,305869.0
2-s2.0-85180536009,305169.0
2-s2.0-85180811481,306019.0
2-s2.0-85180816012,306009.0
2-s2.0-85180807535,305869.0
2-s2.0-85180529020,305169.0
2-s2.0-85180541922,305299.0
2-s2.0-85180153526,305169.0
2-s2.0-85180623099,305299.0
2-s2.0-85180149238,305169.0
2-s2.0-85180791528,305869.0
2-s2.0-85180754590,305869.0
2-s2.0-85180623167,305739.0
2-s2.0-85180539203,305679.0
2-s2.0-85180742513,306009.0
2-s2.0-85180537142,305169.0
2-s2.0-85180633991,305379.0
2-s2.0-85180150242,305169.0
2-s2.0-85180152586,305219.0
2-s2.0-85180635600,305579.0
2-s2.0-85180538622,305169.0
2-s2.0-85180623186,305519.0
2-s2.0-85180551876,304959.0
2-s2.0-85180528703,305169.0
2-s2.0-85180737399,305899.0
2-s2.0-85180156714,304439.0
2-s2.0-85180622365,305379.0
2-s2.0-85180627415,305299.0
2-s2.0-85180630383,305379.0
2-s2.0-85178608808,304869.0
2-s2.0-85178587587,304439.0
2-s2.0-85178554256,304439.0
2-s2.0-85178629296,304439.0
